epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
148,2222.87,0.93625,0.82388,1.20289,0.6355,0.49,0.50006,0.27029,1.63339,1.76415,1.88523,0.000150759,0.000150759,0.000150759
149,2238,0.94617,0.8413,1.23192,0.63525,0.475,0.4989,0.2652,1.65581,1.78251,1.88732,0.000140445,0.000140445,0.000140445
150,2253.63,0.88469,0.75935,1.18365,0.62791,0.49783,0.49364,0.26785,1.67553,1.85547,1.90258,0.00013013,0.00013013,0.00013013
151,2272.05,0.91454,0.8268,1.19899,0.62697,0.495,0.50266,0.26675,1.66386,1.83868,1.92025,0.000119816,0.000119816,0.000119816
152,2287.03,0.91904,0.79355,1.21769,0.59326,0.51,0.49786,0.26281,1.6908,1.89943,1.95403,0.000109501,0.000109501,0.000109501
153,2300.77,0.87139,0.7437,1.16933,0.68917,0.46562,0.50609,0.2664,1.69659,1.89682,1.96663,9.91865e-05,9.91865e-05,9.91865e-05
154,2315.37,0.83177,0.72054,1.14695,0.61489,0.5,0.50483,0.26765,1.69576,1.86673,1.97186,8.88719e-05,8.88719e-05,8.88719e-05
155,2329.76,0.81691,0.68181,1.13515,0.61234,0.49,0.49431,0.27779,1.68896,1.88306,1.9497,7.85574e-05,7.85574e-05,7.85574e-05
156,2343.41,0.8302,0.68292,1.14022,0.62474,0.505,0.51142,0.28414,1.67649,1.85145,1.94315,6.82428e-05,6.82428e-05,6.82428e-05
157,2358.1,0.84084,0.6697,1.14671,0.64508,0.48166,0.50739,0.28359,1.6591,1.79111,1.92372,5.79283e-05,5.79283e-05,5.79283e-05
158,2373.21,0.80334,0.67577,1.11768,0.59932,0.49,0.50462,0.27906,1.66666,1.73478,1.93018,4.76137e-05,4.76137e-05,4.76137e-05
159,2387.26,0.82422,0.67114,1.13427,0.6311,0.495,0.50603,0.27966,1.67622,1.75147,1.93848,3.72991e-05,3.72991e-05,3.72991e-05
160,2401.19,0.78703,0.66756,1.12072,0.62289,0.5,0.50476,0.278,1.67343,1.77093,1.93588,2.69846e-05,2.69846e-05,2.69846e-05
